# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0389708         	1.6282195279e+05
0.0389892         	1.6268360823e+05
0.0390076         	1.6254564378e+05
0.039026          	1.6240837634e+05
0.0390443         	1.6227124951e+05
0.0390627         	1.6213431740e+05
0.0390811         	1.6199727059e+05
0.0390995         	1.6186043554e+05
0.0391179         	1.6172409411e+05
0.0391362         	1.6158771747e+05
0.0391546         	1.6145108853e+05
0.039173          	1.6131466998e+05
0.0391914         	1.6117849385e+05
0.0392097         	1.6104217647e+05
0.0392281         	1.6090628209e+05
0.0392465         	1.6077054771e+05
0.0392649         	1.6063460290e+05
0.0392833         	1.6049852719e+05
0.0393016         	1.6036281968e+05
0.03932           	1.6022676461e+05
0.0393384         	1.6009066340e+05
0.0393568         	1.5995443203e+05
0.0393752         	1.5981806619e+05
0.0393935         	1.5968166051e+05
0.0394119         	1.5954540554e+05
0.0394303         	1.5940900703e+05
0.0394487         	1.5927213639e+05
0.0394664         	1.5913990487e+05
0.0394848         	1.5900203019e+05
0.0395026         	1.5886850604e+05
0.039521          	1.5872909849e+05
0.0395395         	1.5858946733e+05
0.0395579         	1.5844972811e+05
0.0395763         	1.5831011996e+05
0.0395947         	1.5817036396e+05
0.0396131         	1.5803085862e+05
0.0396316         	1.5789140457e+05
0.03965           	1.5775178609e+05
0.0396684         	1.5761234435e+05
0.0396868         	1.5747255233e+05
0.0397053         	1.5733263913e+05
0.0397237         	1.5719254680e+05
0.0397421         	1.5705200092e+05
0.0397605         	1.5691131679e+05
0.0397789         	1.5677027477e+05
0.0397974         	1.5662956865e+05
0.0398158         	1.5648838222e+05
0.0398342         	1.5634665866e+05
0.0398526         	1.5620491440e+05
0.039871          	1.5606239715e+05
0.0398895         	1.5591931913e+05
0.0399079         	1.5577564324e+05
0.0399263         	1.5563169228e+05
0.0399447         	1.5548744716e+05
0.0399632         	1.5534296012e+05
0.0399816         	1.5519807330e+05
